person,cause_of_death,date,year,canine,dept_name,states_death
City Marshal Felix A. Boller,Gunfire,1866-12-12,1866,FALSE,Ogden Police Department,Kansas
Policeman Silas Benjamin Newcomb,Gunfire,1866-12-18,1866,FALSE,Victoria Police Department,Texas
Deputy Sheriff Horace P. Stewart,Gunfire,1867-02-18,1867,FALSE,Spokane County Sheriff's Department,Washington
Deputy Sheriff Mat Green,Gunfire,1867-03-01,1867,FALSE,Lamar County Sheriff's Department,Texas
Sheriff Joseph Bailey,Gunfire,1867-03-26,1867,FALSE,Vernon County Sheriff's Department,Missouri
Patrolman John M. Claridge,Gunfire,1867-04-23,1867,FALSE,Memphis Police Department,Tennessee
Deputy Sheriff George Frank S. Griffin,Gunfire,1867-05-23,1867,FALSE,Ray County Sheriff's Department,Missouri
Jailer Barry G. Griffin,Gunfire,1867-05-23,1867,FALSE,Ray County Sheriff's Department,Missouri
Deputy Sheriff Isaac Ward,Gunfire,1867-05-23,1867,FALSE,Jack County Sheriff's Department,Texas
Patrolman Walter M. Rogers,Gunfire,1867-06-04,1867,FALSE,Memphis Police Department,Tennessee
Sheriff Samuel Lewis,Gunfire,1867-07-31,1867,FALSE,McNairy County Sheriff's Department,Tennessee
Deputy City Marshal Thomas G. O'Conner,Gunfire,1867-08-08,1867,FALSE,Portland Police Bureau,Oregon
Deputy Constable Richard P. Ryan,Gunfire,1867-08-31,1867,FALSE,Ophir City Constable's Office,Nevada
City Marshal Charles H. Keeler,Gunfire,1867-09-05,1867,FALSE,The Dalles Police Department,Oregon
Town Marshal Reuben Fenstenmaker,Gunfire,1867-09-11,1867,FALSE,Farmington Marshal's Office,Iowa
Patrolman Van Ness Wells,Stabbed,1867-09-26,1867,FALSE,San Antonio Police Department,Texas
Patrolman Robert S. McChesney,Stabbed,1867-10-19,1867,FALSE,New York Metropolitan Police Force,New York
Police Officer Richard B. Richardson,Gunfire,1867-10-23,1867,FALSE,Oakland Police Department,California
Patrolman Charles Thompson,Stabbed,1867-12-01,1867,FALSE,New York Metropolitan Police Force,New York
Sheriff Benjamin Franklin Orcutt,Gunfire,1867-12-12,1867,FALSE,Kalamazoo County Sheriff's Department,Michigan
Sheriff Timothy B. Smith,Gunfire,1867-12-17,1867,FALSE,Ormsby County Sheriff's Office,Nevada
Night Watchman Joseph Burnham,Gunfire,1867-12-23,1867,FALSE,Haverhill Police Department,Massachusetts
Patrolman John M. Fenton,Gunfire,1867-12-31,1867,FALSE,Memphis Police Department,Tennessee
Patrolman William Dozier,Gunfire,1868-01-01,1868,FALSE,Knoxville Police Department,Tennessee
Captain John McKinstry,Gunfire,1868-02-22,1868,FALSE,Mattoon Police Department,Illinois
Patrolman William Levan,Heart attack,1868-02-27,1868,FALSE,Reading Police Department,Pennsylvania
Patrolman John Gear,Gunfire,1868-03-13,1868,FALSE,Memphis Police Department,Tennessee
Sheriff James Cochran,Stabbed,1868-03-17,1868,FALSE,Trinity County Sheriff's Department,California
Policeman David Calvin Crandall,Gunfire,1868-04-18,1868,FALSE,Capital Police District,New York
Officer Butch Dobler,Gunfire,1868-06-02,1868,FALSE,Marysville Police Department,California
Captain James Somers Perry,Gunfire,1868-06-12,1868,FALSE,Memphis Police Department,Tennessee
Patrolman John W. Skinner,Gunfire,1868-06-16,1868,FALSE,St. Louis Metropolitan Police Department,Missouri
Constable Manuel Garcia Y Griego,Gunfire,1868-06-24,1868,FALSE,Ranchos de Albuquerque Constable's Office,New Mexico
Patrolman Henry Corbett,Drowned,1868-07-13,1868,FALSE,New York Metropolitan Police Force,New York
Deputized Civilian Walter Williams,Gunfire,1868-07-18,1868,FALSE,Storey County Sheriff's Office,Nevada
Patrolman John Smedick,Gunfire,1868-07-23,1868,FALSE,New York Metropolitan Police Force,New York
Deputy Marshal Robert Goode,Gunfire,1868-07-28,1868,FALSE,Columbus Police Department,Texas
Patrolman John P. Brady,Fire,1868-09-27,1868,FALSE,Wheeling Police Department,West Virginia
Policeman James Young,Gunfire,1868-10-14,1868,FALSE,Philadelphia Police Department,Pennsylvania
Patrolman Samuel Bryson,Gunfire,1868-11-04,1868,FALSE,Savannah Police Department,Georgia
Patrolman Robert E. Read,Gunfire,1868-11-05,1868,FALSE,Savannah Police Department,Georgia
City Marshal William Dean Sanford,Gunfire,1868-11-20,1868,FALSE,Jefferson Police Department,Texas
Inspector William H. Phelps,Gunfire,1868-12-18,1868,FALSE,United States Department of the Treasury - Customs Service,NA
Inspector George T. Hammonds,Gunfire,1868-12-18,1868,FALSE,United States Department of the Treasury - Customs Service,NA
Police Officer David S. Faulkner,Gunfire,1868-12-22,1868,FALSE,Malden Police Department,Massachusetts
Patrolman Nathan Haynes,Gunfire,1869-01-01,1869,FALSE,Knoxville Police Department,Tennessee
City Marshal John T. Thompson,Gunfire,1869-02-22,1869,FALSE,Covington Police Department,Kentucky
Sergeant D. J. Finch,Gunfire,1869-03-08,1869,FALSE,Memphis Police Department,Tennessee
Deputy Sheriff James W. Wood,Gunfire,1869-03-12,1869,FALSE,Ouachita Parish Sheriff's Office,Louisiana
Keeper Edwin A. Craft,Assault,1869-03-18,1869,FALSE,New York State Department of Correctional Services,New York
Officer Ignatio Andrea,Stabbed,1869-04-14,1869,FALSE,Jacksonville Police Department,Florida
Deputy Sheriff William C. Hall,Gunfire,1869-04-24,1869,FALSE,Collin County Sheriff's Office,Texas
Chief of Police Michael Baer,Gunfire,1869-05-26,1869,FALSE,Fort Smith Police Department,Arkansas
Customs Inspector Frank Dupont,Gunfire,1869-05-26,1869,FALSE,United States Department of the Treasury - Customs Service,NA
Sheriff Leonard C. DeLisle,Gunfire,1869-05-27,1869,FALSE,Harrison County Sheriff's Office,Texas
Sheriff Orson Rodolphus Colgrove,Gunfire,1869-05-29,1869,FALSE,Jones County Sheriff's Office,North Carolina
Sheriff Andrew Jackson Jacobs,Gunfire,1869-06-05,1869,FALSE,Goliad County Sheriff's Department,Texas
Officer Thomas Kirkham,Fall,1869-07-01,1869,FALSE,Richmond Police Department,Virginia
Patrolman John O'Connell,Gunfire (Accidental),1869-07-08,1869,FALSE,Louisville Police Department,Kentucky
City Marshal Robert A. Clark,Gunfire,1869-07-10,1869,FALSE,Black Hawk Police Department,Colorado
Patrolman Thomas D. Moore,Weather/Natural disaster,1869-07-12,1869,FALSE,Muscatine Police Department,Iowa
Patrolman Issac Wiltse,Gunfire,1869-07-17,1869,FALSE,Owego Police Department,New York
Deputy Sheriff Henry Pratt,Gunfire,1869-07-30,1869,FALSE,Tazewell County Sheriff's Office,Illinois
Deputy Sheriff S. D. Sheldon,Gunfire,1869-08-02,1869,FALSE,Elko County Sheriff's Office,Nevada
Deputy Sheriff Willard Griggs,Gunfire,1869-08-02,1869,FALSE,Rensselaer County Sheriff's Office,New York
Patrolman John A. Branagan,Accidental,1869-08-10,1869,FALSE,New York Metropolitan Police Force,New York
Deputy Sheriff Duff G. Williams,Gunfire,1869-08-26,1869,FALSE,Smith County Sheriff's Office,Texas
Sheriff Thomas Wilson Napier,Gunfire,1869-09-18,1869,FALSE,Lincoln County Sheriff's Office,Kentucky
Township Constable William Semans,Gunfire,1869-09-26,1869,FALSE,Ellsworth Police Department,Kansas
Deputy Sheriff Edward Faust,Gunfire,1869-10-18,1869,FALSE,Dewitt County Sheriff's Office,Texas
Posseman Henry Gonzalvo Woods,Gunfire,1869-10-18,1869,FALSE,Dewitt County Sheriff's Office,Texas
Deputy Sheriff Lewis C. Story,Gunfire,1869-10-27,1869,FALSE,Clinton County Sheriff's Department,Kentucky
Police Deputy Ira M. Buchanan,Gunfire,1869-11-13,1869,FALSE,Junction City Police Department,Kansas
Deputy Sheriff Nelson Maxey,Gunfire,1869-11-19,1869,FALSE,Washington County Sheriff's Office,Texas
Deputy U.S. Marshal Theodore W. Moses,Gunfire,1869-12-06,1869,FALSE,United States Department of Justice - United States Marshals Service,NA
Police Officer Daniel McMullen,Assault,1869-12-18,1869,FALSE,Pittsburgh Police Department,Pennsylvania
Special Constable John B. Drummond,Gunfire,1869-12-24,1869,FALSE,Brunswick County Constable's Office,Virginia
Patrolman John D. Sullivan,Gunfire,1869-12-25,1869,FALSE,Savannah Police Department,Georgia
Police Officer A. G. Hearn,Stabbed,1870-02-09,1870,FALSE,Bryan Police Department,Texas
Sheriff David William L. Mizell,Gunfire,1870-02-21,1870,FALSE,Orange County Sheriff's Office,Florida
Deputy City Marshal Eli Stallings,Gunfire,1870-03-12,1870,FALSE,Bastrop Police Department,Texas
Special Officer Richard O. Busch,Gunfire,1870-03-20,1870,FALSE,Richmond Police Department,Virginia
Sheriff John H. Wisner,Gunfire,1870-03-30,1870,FALSE,Ouachita Parish Sheriff's Office,Louisiana
Officer William Johnson,Assault,1870-04-12,1870,FALSE,Jacksonville Police Department,Florida
Officer Uriah H. Sears,Stabbed,1870-04-18,1870,FALSE,Cincinnati Police Department,Ohio
Undersheriff Henry Bodine,Gunfire,1870-04-20,1870,FALSE,Labette County Sheriff's Office,Kansas
Sergeant James T. Cox,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Officer James M. Carter,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Officer William R. Cray,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Deputy U.S. Marshal Thomas P. Foley,Structure collapse,1870-04-27,1870,FALSE,United States Department of Justice - United States Marshals Service,NA
Officer John Kerr,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Officer Michael McCarthy,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Officer John R. Meagher,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Officer James A. Seay,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Officer Julius Schultz,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Captain D. G. Tourgee,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Officer James M. Walker,Structure collapse,1870-04-27,1870,FALSE,Richmond Police Department,Virginia
Deputy U.S. Marshal William Rufus Story,Gunfire,1870-05-02,1870,FALSE,United States Department of Justice - United States Marshals Service,NA
Posseman Festus Sprague,Gunfire,1870-05-03,1870,FALSE,Grantsville Police Department,Utah
Sheriff Dennis J. Kelly,Gunfire,1870-06-13,1870,FALSE,Nueces County Sheriff's Office,Texas
Policeman Dennis Sullivan,Assault,1870-06-14,1870,FALSE,Philadelphia Police Department,Pennsylvania
Sheriff William M. Thompson,Gunfire,1870-06-14,1870,FALSE,Washington County Sheriff's Office,Texas
Constable Jere McCheane,Stabbed,1870-06-26,1870,FALSE,Omaha Police Department,Nebraska
Police Officer James Murphy,Assault,1870-07-05,1870,FALSE,Baltimore City Police Department,Maryland
Sheriff Gaylord Lyman,Gunfire,1870-07-10,1870,FALSE,Lucas County Sheriff's Office,Iowa
Patrolman John Regan,Duty related illness,1870-07-13,1870,FALSE,Memphis Police Department,Tennessee
Officer William M. Landers,Stabbed,1870-07-30,1870,FALSE,Kentucky Central Railroad Police Department,NA
Warden William Willard,Stabbed,1870-08-14,1870,FALSE,Connecticut Department of Correction,Connecticut
Deputy John A. McClain,Gunfire,1870-09-17,1870,FALSE,Colusa County Sheriff's Department,California
City Marshal William Warren,Gunfire,1870-10-31,1870,FALSE,Los Angeles Police Department,California
City Marshal Thomas J. Smith,Gunfire,1870-11-02,1870,FALSE,Abilene Police Department,Kansas
City Marshal Henry C. Seaman,Gunfire,1870-11-07,1870,FALSE,Baxter Springs Police Department,Kansas
Private Lorenzo Biediger,Assault,1870-12-06,1870,FALSE,Texas Rangers,Texas
Private Walter Richarz,Assault,1870-12-06,1870,FALSE,Texas Rangers,Texas
Private Joseph R. Riff,Assault,1870-12-06,1870,FALSE,Texas Rangers,Texas
Private Albert M. Swift,Duty related illness,1870-12-27,1870,FALSE,Texas Rangers,Texas
City Marshal Laban John Hoffman,Gunfire,1871-01-06,1871,FALSE,Waco Police Department,Texas
Deputy Sheriff James McMahan,Gunfire,1871-01-16,1871,FALSE,Dallas County Sheriff's Department,Texas
Deputy Sheriff Charles H. Nichols,Gunfire,1871-01-20,1871,FALSE,Dallas County Sheriff's Department,Texas
Private Jim Smalley,Gunfire,1871-01-22,1871,FALSE,Texas State Police,Texas
Deputy Collector Ellis T. Jenkins,Gunfire,1871-02-15,1871,FALSE,United States Department of the Treasury - Office of Internal Revenue,NA
Patrolman Niels L. Hansen,Gunfire (Accidental),1871-02-18,1871,FALSE,Chicago Police Department,Illinois
Private General Bell,Gunfire,1871-02-25,1871,FALSE,Texas State Police,Texas
Posseman William Hicks Reeves,Gunfire,1871-03-01,1871,FALSE,United States Department of Justice - United States Marshals Service,NA
Private Robert Steen,Gunfire,1871-04-27,1871,FALSE,Texas State Police,Texas
Sheriff John McIver,Gunfire,1871-05-01,1871,FALSE,Jackson County Sheriff's Department,Texas
Police Officer Joseph Clark,Gunfire,1871-05-22,1871,FALSE,Baltimore City Police Department,Maryland
"Police Officer David Wilber, Jr.",Gunfire,1871-07-08,1871,FALSE,Chelsea Police Department,Massachusetts
Special Deputy Constable Jack B. Archer,Gunfire,1871-07-12,1871,FALSE,Grayson County Constable's Office - Precinct 1,Texas
Gauger Clinton Gilbert,Gunfire,1871-07-16,1871,FALSE,United States Department of the Treasury - Office of Internal Revenue,NA
Sheriff Peter R. Lanahan,Gunfire,1871-07-18,1871,FALSE,Ellis County Sheriff's Office,Kansas
Constable Jacob H. Baughman,Gunfire,1871-07-21,1871,FALSE,Greene County Sheriff's Department,Missouri
Private August Werner,Gunfire,1871-08-14,1871,FALSE,Texas State Police,Texas
Customs Inspector Alden McLaughlin,Gunfire,1871-09-01,1871,FALSE,United States Department of the Treasury - Customs Service,NA
Detective John H. Richards,Gunfire,1871-09-14,1871,FALSE,Baltimore City Police Department,Maryland
Sheriff James T. Dana,Assault,1871-09-20,1871,FALSE,Yuma County Sheriff's Department,Arizona
Posse Member Mono Jim,Gunfire,1871-09-23,1871,FALSE,Mono County Sheriff's Office,California
Posse Member Robert Morrison,Gunfire,1871-09-23,1871,FALSE,Mono County Sheriff's Office,California
Deputy Sheriff Carlos B. King,Gunfire,1871-09-23,1871,FALSE,Sedgwick County Sheriff's Office,Kansas
Patrolman Isaac Jones,Assault,1871-09-23,1871,FALSE,Pittsburgh Police Department,Pennsylvania
Constable Samuel T. Herrington,Gunfire,1871-10-04,1871,FALSE,Concord Township Police Department,Missouri
Special Deputy Marshal Mike Williams,Gunfire (Accidental),1871-10-05,1871,FALSE,Abilene Police Department,Kansas
Special Police Officer Green Paramore,Gunfire,1871-10-06,1871,FALSE,Texas State Police,Texas
Prison Guard F. M. Isaacs,Gunfire,1871-10-13,1871,FALSE,Nevada State Prison,Nevada
Patrolman John Wilson,Gunfire,1871-11-11,1871,FALSE,Portsmouth Police Department,Virginia
Deputized Civilian David W. Harvell,Gunfire,1871-12-14,1871,FALSE,Nacogdoches County Constable's Office,Texas
Policeman Benjamin Cline,Gunfire,1871-12-18,1871,FALSE,Union City Police Department,Tennessee
Constable John Birdwell,Gunfire,1871-12-19,1871,FALSE,Nacogdoches County Constable's Office,Texas
Constable Moses Ford,Assault,1871-12-23,1871,FALSE,Independence County Sheriff's Department,Arkansas
Officer Francis M. Doyle,Gunfire,1871-12-29,1871,FALSE,Metropolitan Police Department,District of Columbia
Sheriff Juan C. Tafoya,Gunfire,1872-02-06,1872,FALSE,Las Animas County Sheriff's Office,Colorado
Deputy U.S. Marshal John Zeke,Gunfire,1872-02-16,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Deputy U.S. Marshal William T. Bentz,Gunfire,1872-02-22,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Police Officer Mansel W. Rasbury,Gunfire,1872-03-07,1872,FALSE,Atlanta Police Department,Georgia
Detective Phillip Lambreck,Assault,1872-03-14,1872,FALSE,New York Metropolitan Police Force,New York
Keeper Samuel Calvert,Stabbed,1872-03-17,1872,FALSE,New York State Department of Correctional Services,New York
Sheriff James B. Rogers,Gunfire,1872-04-13,1872,FALSE,Freestone County Sheriff's Office,Texas
Special Deputy Marshal William Hicks,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Special Deputy Marshal Sam Beck,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Special Deputy Marshal Blacksut Beck,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Posseman George Selvidge,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Special Deputy Marshal Jim Ward,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Special Deputy Marshal Riley Woods,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Deputy U.S. Marshal Jacob G. Owens,Gunfire,1872-04-16,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Posseman William Beck,Gunfire,1872-04-16,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Private John Americas Stewart,Gunfire,1872-05-16,1872,FALSE,Texas State Police,Texas
Deputy U.S. Marshal Maddison F. Mitchell,Gunfire,1872-06-18,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
City Marshal C. M. Taylor,Gunfire,1872-06-29,1872,FALSE,Baxter Springs Police Department,Kansas
Patrolman John J. Donohue,Assault,1872-07-07,1872,FALSE,Brooklyn Police Department,New York
Township Constable Charles F. Lehman,Gunfire,1872-07-23,1872,FALSE,Anaheim Police Department,California
Patrolman Patrick O'Meara,Gunfire,1872-08-05,1872,FALSE,Chicago Police Department,Illinois
Police Officer John Christopher,Gunfire,1872-08-18,1872,FALSE,Baltimore City Police Department,Maryland
Policeman Lewis Lare,Gunfire,1872-08-21,1872,FALSE,Philadelphia Police Department,Pennsylvania
Deputy Sheriff William N. Wright,Gunfire,1872-10-06,1872,FALSE,Caddo Parish Sheriff's Office,Louisiana
"Deputy U.S. Marshal Henry Franklin ""Frank"" Griffin",Gunfire,1872-10-06,1872,FALSE,United States Department of Justice - United States Marshals Service,NA
Policeman Daniel McGonigle,Gunfire,1872-10-09,1872,FALSE,Philadelphia Police Department,Pennsylvania
Police Officer Franklin Fullum,Duty related illness,1872-11-22,1872,FALSE,Baltimore City Police Department,Maryland
Sheriff Daniel Jackson Brownell,Gunfire,1872-11-26,1872,FALSE,Holmes County Sheriff's Office,Florida
Police Officer James T. Harvey,Duty related illness,1873-01-12,1873,FALSE,Baltimore City Police Department,Maryland
Deputy Constable John Stark,Gunfire,1873-02-20,1873,FALSE,Grayson County Constable's Office - Precinct 6,Texas
Patrolman James Harris Rosser,Duty related illness,1873-02-26,1873,FALSE,Shreveport Police Department,Louisiana
Private James M. Daniels,Gunfire,1873-03-14,1873,FALSE,Texas State Police,Texas
Private Wesley Cherry,Gunfire,1873-03-14,1873,FALSE,Texas State Police,Texas
Captain Thomas G. Williams,Gunfire,1873-03-14,1873,FALSE,Texas State Police,Texas
Police Officer John Ferguson,Stabbed,1873-04-06,1873,FALSE,Galveston Police Department,Texas
