person,cause_of_death,date,year,canine,dept_name,states_death
Police Officer Levi Washington Davis,Gunfire,1860-05-07,1860,FALSE,Springville Police Department,Utah
Patrol Officer William Loughrey,Stabbed,1860-06-26,1860,FALSE,Cambridge Police Department,Massachusetts
Deputy Sheriff Thomas Shain,Gunfire,1860-07-02,1860,FALSE,Collin County Sheriff's Office,Texas
Constable Miles Huntsman,Gunfire,1860-07-26,1860,FALSE,Amador County Constable's Office,California
Deputy Thomas Nolan,Gunfire,1860-08-15,1860,FALSE,Nueces County Sheriff's Office,Texas
Officer Claborne Long,Stabbed,1861-01-09,1861,FALSE,Cincinnati Police Department,Ohio
Officer Daniel Hallam,Stabbed,1861-01-10,1861,FALSE,Cincinnati Police Department,Ohio
Sheriff Jesse Sut Harris,Gunfire,1861-06-06,1861,FALSE,Brown County Sheriff's Department,Texas
Officer Patrick Nuttle,Stabbed,1861-06-11,1861,FALSE,Cincinnati Police Department,Ohio
Policeman Nehum M. Pratte,Gunfire,1861-06-17,1861,FALSE,St. Louis Metropolitan Police Department,Missouri
Keeper Augustus T. Wright,Assault,1861-07-11,1861,FALSE,New York State Department of Correctional Services,New York
Patrolman David Martin,Stabbed,1861-08-06,1861,FALSE,New York Metropolitan Police Force,New York
Sheriff John B. York,Stabbed,1861-08-24,1861,FALSE,Tarrant County Sheriff's Department,Texas
Sheriff John L. Blackburn,Stabbed,1861-11-28,1861,FALSE,Carson County Sheriff's Office,Nevada
Police Officer John C. Gilmore,Gunfire,1861-12-24,1861,FALSE,St. Louis Metropolitan Police Department,Missouri
Patrolman John W. Causey,Stabbed,1861-12-31,1861,FALSE,Memphis Police Department,Tennessee
Patrolman Ben S. Rust,Gunfire,1862-01-16,1862,FALSE,Louisville Police Department,Kentucky
Warden Daniel Webster,Stabbed,1862-03-27,1862,FALSE,Connecticut Department of Correction,Connecticut
Sheriff N. F. Scott,Gunfire,1862-04-05,1862,FALSE,Mono County Sheriff's Office,California
Constable John Welch,Gunfire,1862-04-14,1862,FALSE,Evansville Police Department,Indiana
Patrolman Henry L. Williams,Gunfire,1862-10-14,1862,FALSE,New York Metropolitan Police Force,New York
Deputy Sheriff Martin Roohan,Stabbed,1862-10-23,1862,FALSE,Santa Clara County Sheriff's Office,California
Sergeant John Sturdy,Assault,1863-04-10,1863,FALSE,St. Louis Metropolitan Police Department,Missouri
Police Officer Dennis McMahon,Gunfire,1863-04-12,1863,FALSE,Virginia City Police Department,Nevada
Police Officer Thomas Reed,Gunfire,1863-04-12,1863,FALSE,Virginia City Police Department,Nevada
Warden Richard Tinker,Stabbed,1863-05-14,1863,FALSE,Maine Department of Corrections,Maine
Deputy Sheriff D. H. Dillingham,Gunfire,1863-06-29,1863,FALSE,Bannock County Sheriff's Department,Idaho
Patrolman Edward Dippel,Gunfire,1863-07-19,1863,FALSE,New York Metropolitan Police Force,New York
Patrolman Peter McIntyre,Assault,1863-08-09,1863,FALSE,New York Metropolitan Police Force,New York
Officer John F. Baylis,Gunfire,1863-09-09,1863,FALSE,Wilmington Police Department,Delaware
Sheriff William H. Tainter,Drowned,1863-10-23,1863,FALSE,Mendocino County Sheriff's Office,California
Patrolman John T. Van Buren,Assault,1863-11-07,1863,FALSE,New York Metropolitan Police Force,New York
Inspector William Bird Goodell,Drowned,1863-12-16,1863,FALSE,United States Department of the Treasury - Customs Service,NA
Deputy Collector James M. Anderson,Drowned,1863-12-16,1863,FALSE,United States Department of the Treasury - Customs Service,NA
Patrolman John Starkey,Assault,1864-01-20,1864,FALSE,New York Metropolitan Police Force,New York
Patrolman Austin H. Easterbrook,Animal related,1864-02-06,1864,FALSE,New York Metropolitan Police Force,New York
Special Agent Garrett W. Freer,Gunfire,1864-05-02,1864,FALSE,United States Army Criminal Investigation Division,NA
